topology,nb_roots,nb_proc,size,rank,communication_time,computation_time
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8648,0.47757629,0.2887598
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,92,0.48345513,0.28629077
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,185,0.48405144,0.287007
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,278,0.48366435,0.28858409
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,371,0.48517077,0.28804822
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,464,0.48998422,0.28438067
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,557,0.48771832,0.28718361
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8556,0.48806945,0.28759207
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8557,0.48781236,0.28852801
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,650,0.48952879,0.28713021
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8558,0.49051004,0.2866044
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,743,0.49120659,0.28679356
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8559,0.49060201,0.28774501
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,0,0.49376949,0.28620219
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8561,0.49180624,0.28754737
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8560,0.49257915,0.28683517
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1,0.49205129,0.28828312
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,929,0.49332135,0.28617486
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,836,0.49276643,0.2867274
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1115,0.4932691,0.28650795
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,93,0.49242672,0.28803242
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8562,0.49262425,0.28756968
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2,0.4943057,0.28693529
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1022,0.49215221,0.28850279
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,94,0.49475783,0.28667039
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,186,0.49412002,0.28749077
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3,0.49469924,0.28733363
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1208,0.4931001,0.28821441
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8563,0.49536396,0.28594898
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,95,0.49394666,0.28819719
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1301,0.49665252,0.28502822
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,279,0.49557351,0.28691495
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,187,0.49557713,0.28697048
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5,0.49474576,0.28822622
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4,0.49410937,0.28882584
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8564,0.49527822,0.28682918
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,96,0.49456583,0.28835907
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1487,0.49474341,0.28769257
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,280,0.4953146,0.28792279
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,188,0.49837081,0.28497609
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1394,0.49695388,0.28588014
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,465,0.49533792,0.28843443
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,372,0.49596559,0.28783009
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,98,0.49546092,0.28838907
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,97,0.49571456,0.28813435
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6,0.4958082,0.28840208
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,189,0.49722673,0.28685864
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,281,0.49615036,0.28801467
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1673,0.4977603,0.28599867
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1580,0.49504096,0.28871776
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,373,0.49929986,0.28534422
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,466,0.49620383,0.28843887
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,8565,0.49462165,0.28938787
