topology,nb_roots,nb_proc,size,time,Gflops
"2;24,48;1,19;1,1",19,961,9300,3.35175106,479.9622559081103
"2;24,48;1,6;1,1",6,961,9300,4.38499913,366.8675756384928
"2;24,48;1,21;1,1",21,961,9300,3.26317332,492.9906695853961
"2;24,48;1,13;1,1",13,961,9300,3.48679562,461.373184815461
"2;24,48;1,3;1,1",3,961,9300,6.0193495,267.2571180656647
"2;24,48;1,10;1,1",10,961,9300,3.62175678,444.1805725010612
"2;24,48;1,24;1,1",24,961,9300,3.0633356,525.1510804105172
"2;24,48;1,14;1,1",14,961,9300,3.46678541,464.0362208054868
"2;24,48;1,15;1,1",15,961,9300,3.31024572,485.9802371408247
"2;24,48;1,12;1,1",12,961,9300,3.47496056,462.9445348294831
"2;24,48;1,7;1,1",7,961,9300,4.29738315,374.34735136428316
"2;24,48;1,17;1,1",17,961,9300,3.27298569,491.51268974842355
"2;24,48;1,22;1,1",22,961,9300,3.24946346,495.07065391035354
"2;24,48;1,5;1,1",5,961,9300,4.57662338,351.5067477542799
"2;24,48;1,2;1,1",2,961,9300,7.58937242,211.96930536187867
"2;24,48;1,20;1,1",20,961,9300,3.24840809,495.23149660669634
"2;24,48;1,8;1,1",8,961,9300,3.85860441,416.9160217178107
"2;24,48;1,4;1,1",4,961,9300,5.18914153,310.0154410319196
"2;24,48;1,1;1,1",1,961,9300,12.63381341,127.33400025733006
"2;24,48;1,23;1,1",23,961,9300,3.10495476,518.111896741452
"2;24,48;1,16;1,1",16,961,9300,3.26100632,493.3182711525686
"2;24,48;1,9;1,1",9,961,9300,3.87540568,415.1085416172482
"2;24,48;1,18;1,1",18,961,9300,3.29960694,487.54716220835684
"2;24,48;1,11;1,1",11,961,9300,3.70217618,434.5319946388937
"2;24,48;1,3;1,1",3,961,9300,6.01222399,267.5738632951365
"2;24,48;1,24;1,1",24,961,9300,3.08598486,521.296789511793
"2;24,48;1,23;1,1",23,961,9300,3.11939611,515.7132801579342
"2;24,48;1,8;1,1",8,961,9300,3.85767269,417.01671688481173
"2;24,48;1,16;1,1",16,961,9300,3.27497758,491.2137444311909
"2;24,48;1,9;1,1",9,961,9300,3.85682886,417.1079553682867
"2;24,48;1,6;1,1",6,961,9300,4.39226246,366.26089962756913
"2;24,48;1,14;1,1",14,961,9300,3.46876936,463.7708169793105
"2;24,48;1,2;1,1",2,961,9300,7.61033596,211.3854116894992
"2;24,48;1,20;1,1",20,961,9300,3.25039394,494.9289315989803
"2;24,48;1,1;1,1",1,961,9300,12.63929233,127.27880311634505
"2;24,48;1,10;1,1",10,961,9300,3.63154054,442.98390236337553
"2;24,48;1,22;1,1",22,961,9300,3.23233608,497.6939155411092
"2;24,48;1,12;1,1",12,961,9300,3.47396074,463.07777214546184
"2;24,48;1,13;1,1",13,961,9300,3.51670529,457.44919387316645
"2;24,48;1,19;1,1",19,961,9300,3.27435069,491.30778963691273
"2;24,48;1,18;1,1",18,961,9300,3.30367884,486.94624323713015
"2;24,48;1,15;1,1",15,961,9300,3.31493531,485.29272808041617
"2;24,48;1,7;1,1",7,961,9300,4.29186568,374.8285990161742
"2;24,48;1,21;1,1",21,961,9300,3.23918634,496.64138803450254
"2;24,48;1,17;1,1",17,961,9300,3.28130485,490.26654746815126
"2;24,48;1,5;1,1",5,961,9300,4.61182242,348.8239254450738
"2;24,48;1,4;1,1",4,961,9300,5.19400302,309.72527235842847
"2;24,48;1,17;1,1",17,961,9300,3.28515139,489.6925008987181
"2;24,48;1,16;1,1",16,961,9300,3.26405906,492.8568908921642
"2;24,48;1,3;1,1",3,961,9300,6.06991569,265.0306992979008
"2;24,48;1,6;1,1",6,961,9300,4.45981177,360.7134298405603
"2;24,48;1,5;1,1",5,961,9300,4.81203818,334.3103150524047
"2;24,48;1,8;1,1",8,961,9300,3.90035433,412.45329626244495
"2;24,48;1,13;1,1",13,961,9300,3.4951807,460.2663318666185
"2;24,48;1,14;1,1",14,961,9300,3.49521082,460.26236551877
"2;24,48;1,18;1,1",18,961,9300,3.32777761,483.41992420581255
"2;24,48;1,7;1,1",7,961,9300,4.28835743,375.1352414670342
"2;24,48;1,1;1,1",1,961,9300,12.66634752,127.00693688214864
"2;24,48;1,11;1,1",11,961,9300,3.72007539,432.4412360901105
"2;24,48;1,19;1,1",19,961,9300,3.27378221,491.39310339156617
"2;24,48;1,21;1,1",21,961,9300,3.25124817,494.7988944196776
"2;24,48;1,4;1,1",4,961,9300,5.19910356,309.4214187955125
"2;24,48;1,23;1,1",23,961,9300,3.1075935,517.6719541986428
"2;24,48;1,12;1,1",12,961,9300,3.50381264,459.13242666993744
"2;24,48;1,24;1,1",24,961,9300,3.06319048,525.1759596745678
"2;24,48;1,2;1,1",2,961,9300,7.46832825,215.4048330695695
"2;24,48;1,22;1,1",22,961,9300,3.24627228,495.55732275174404
"2;24,48;1,10;1,1",10,961,9300,3.66047968,439.481745736668
"2;24,48;1,9;1,1",9,961,9300,3.89213405,413.32440746741497
"2;24,48;1,20;1,1",20,961,9300,3.30356684,486.96275205377714
"2;24,48;1,15;1,1",15,961,9300,3.32899247,483.2435082077551
