fat_tree,nb_roots,nb_proc,size,time
"2;24,48;1,13;1,1",13,144,6600,16.45979536
"2;24,48;1,2;1,1",2,144,6600,18.07105798
"2;24,48;1,1;1,1",1,144,6600,20.750516
"2;24,48;1,11;1,1",11,144,6600,16.08469453
"2;24,48;1,7;1,1",7,144,6600,16.15071441
"2;24,48;1,15;1,1",15,144,6600,16.38762013
"2;24,48;1,12;1,1",12,144,6600,15.71790858
"2;24,48;1,24;1,1",24,144,6600,15.75555652
"2;24,48;1,9;1,1",9,144,6600,16.56326711
"2;24,48;1,16;1,1",16,144,6600,15.75518056
"2;24,48;1,21;1,1",21,144,6600,16.01357979
"2;24,48;1,10;1,1",10,144,6600,16.54698564
"2;24,48;1,17;1,1",17,144,6600,15.82069267
"2;24,48;1,23;1,1",23,144,6600,18.98647543
"2;24,48;1,14;1,1",14,144,6600,15.82015372
"2;24,48;1,20;1,1",20,144,6600,15.84920738
"2;24,48;1,18;1,1",18,144,6600,16.40307639
"2;24,48;1,6;1,1",6,144,6600,16.36040274
"2;24,48;1,4;1,1",4,144,6600,16.46812552
"2;24,48;1,22;1,1",22,144,6600,15.73524044
"2;24,48;1,3;1,1",3,144,6600,16.77332242
"2;24,48;1,8;1,1",8,144,6600,16.01576082
"2;24,48;1,5;1,1",5,144,6600,16.74447773
"2;24,48;1,19;1,1",19,144,6600,15.70041421
"2;24,48;1,22;1,1",22,144,6600,15.7401447
"2;24,48;1,14;1,1",14,144,6600,16.29808319
"2;24,48;1,20;1,1",20,144,6600,16.3865861
"2;24,48;1,13;1,1",13,144,6600,16.15022276
"2;24,48;1,16;1,1",16,144,6600,15.75577696
"2;24,48;1,2;1,1",2,144,6600,18.30326352
"2;24,48;1,24;1,1",24,144,6600,15.74349331
"2;24,48;1,21;1,1",21,144,6600,16.54935974
"2;24,48;1,15;1,1",15,144,6600,15.8169657
"2;24,48;1,18;1,1",18,144,6600,15.74084582
"2;24,48;1,8;1,1",8,144,6600,16.32432678
"2;24,48;1,17;1,1",17,144,6600,16.31760878
"2;24,48;1,7;1,1",7,144,6600,16.29789962
"2;24,48;1,4;1,1",4,144,6600,16.36465753
"2;24,48;1,12;1,1",12,144,6600,16.08046285
"2;24,48;1,19;1,1",19,144,6600,16.49135111
"2;24,48;1,5;1,1",5,144,6600,16.4059411
"2;24,48;1,3;1,1",3,144,6600,17.51690201
"2;24,48;1,10;1,1",10,144,6600,15.97525116
"2;24,48;1,23;1,1",23,144,6600,15.74124736
"2;24,48;1,9;1,1",9,144,6600,16.11908694
"2;24,48;1,6;1,1",6,144,6600,16.07525172
"2;24,48;1,11;1,1",11,144,6600,16.01393725
"2;24,48;1,1;1,1",1,144,6600,20.50842667
"2;24,48;1,12;1,1",12,144,6600,15.96993515
"2;24,48;1,7;1,1",7,144,6600,16.21281947
"2;24,48;1,15;1,1",15,144,6600,16.05667924
"2;24,48;1,14;1,1",14,144,6600,16.00204399
"2;24,48;1,4;1,1",4,144,6600,17.42007479
"2;24,48;1,24;1,1",24,144,6600,15.7813648
"2;24,48;1,18;1,1",18,144,6600,15.77444713
"2;24,48;1,8;1,1",8,144,6600,16.49265297
"2;24,48;1,5;1,1",5,144,6600,16.39243062
"2;24,48;1,1;1,1",1,144,6600,20.41607986
"2;24,48;1,23;1,1",23,144,6600,15.77836652
"2;24,48;1,21;1,1",21,144,6600,16.11887438
"2;24,48;1,13;1,1",13,144,6600,16.70919868
"2;24,48;1,10;1,1",10,144,6600,16.47985449
"2;24,48;1,20;1,1",20,144,6600,15.77072706
"2;24,48;1,19;1,1",19,144,6600,15.70710121
"2;24,48;1,3;1,1",3,144,6600,17.08017788
"2;24,48;1,22;1,1",22,144,6600,15.72538476
"2;24,48;1,16;1,1",16,144,6600,15.8847817
"2;24,48;1,17;1,1",17,144,6600,16.42923404
"2;24,48;1,9;1,1",9,144,6600,16.74632431
"2;24,48;1,11;1,1",11,144,6600,16.41235211
"2;24,48;1,2;1,1",2,144,6600,17.58214623
"2;24,48;1,6;1,1",6,144,6600,16.61684443
"2;24,48;1,18;1,1",18,144,6600,16.1455776
