nb_root_switches,time
21,4.84050561
11,4.99622492
16,4.68138545
9,5.00815925
9,4.98628576
9,4.98901768
24,4.75067234
22,4.69022964
9,4.98821074
23,4.70160845
2,7.33239956
14,4.91386378
18,4.74896566
21,4.69514212
14,5.00344489
2,7.34969191
9,5.03188648
20,4.69780857
13,5.02548955
22,4.88003108
1,10.87724789
1,10.83165352
24,4.4964178
11,4.9734214
8,4.98712961
9,4.95967088
5,5.61066777
2,7.37425837
17,4.66349342
21,4.73762817
11,4.97875971
5,5.5997079
21,4.78324736
11,4.99611991
7,5.49794956
15,4.83389521
14,4.90037808
19,4.72332514
15,4.74114567
10,5.10696972
