fat_tree,nb_roots,nb_proc,size,rank,communication_time,computation_time
"2;24,48;1,13;1,1",13,144,6600,0,1.36025231,15.08291514
"2;24,48;1,13;1,1",13,144,6600,1,1.3627192,15.08255012
"2;24,48;1,13;1,1",13,144,6600,2,1.35217671,15.08274553
"2;24,48;1,13;1,1",13,144,6600,3,1.35192952,15.08300943
"2;24,48;1,13;1,1",13,144,6600,4,1.35223759,15.08274449
"2;24,48;1,13;1,1",13,144,6600,5,1.35186627,15.08317259
"2;24,48;1,13;1,1",13,144,6600,6,1.35193551,15.0830415
"2;24,48;1,13;1,1",13,144,6600,7,1.34862421,15.08291041
"2;24,48;1,13;1,1",13,144,6600,8,1.35458804,15.08267624
"2;24,48;1,13;1,1",13,144,6600,9,1.36189056,15.08276467
"2;24,48;1,13;1,1",13,144,6600,10,1.3544371,15.0827938
"2;24,48;1,13;1,1",13,144,6600,11,1.37465371,15.08274604
"2;24,48;1,13;1,1",13,144,6600,12,1.3601836,15.08278736
"2;24,48;1,13;1,1",13,144,6600,13,1.36218325,15.0830567
"2;24,48;1,13;1,1",13,144,6600,14,1.35225497,15.08270126
"2;24,48;1,13;1,1",13,144,6600,15,1.35195896,15.08296875
"2;24,48;1,13;1,1",13,144,6600,16,1.35191313,15.08302985
"2;24,48;1,13;1,1",13,144,6600,17,1.35201214,15.08293188
"2;24,48;1,13;1,1",13,144,6600,18,1.35205738,15.08305397
"2;24,48;1,13;1,1",13,144,6600,19,1.34840161,15.08317063
"2;24,48;1,13;1,1",13,144,6600,20,1.34631903,15.0825859
"2;24,48;1,13;1,1",13,144,6600,21,1.36193166,15.0827086
"2;24,48;1,13;1,1",13,144,6600,22,1.35315971,15.08315768
"2;24,48;1,13;1,1",13,144,6600,23,1.37463567,15.08298828
"2;24,48;1,13;1,1",13,144,6600,24,1.35997132,15.08281282
"2;24,48;1,13;1,1",13,144,6600,25,1.36173504,15.08331325
"2;24,48;1,13;1,1",13,144,6600,26,1.35173953,15.0829822
"2;24,48;1,13;1,1",13,144,6600,27,1.35193738,15.08278346
"2;24,48;1,13;1,1",13,144,6600,28,1.35192805,15.08279321
"2;24,48;1,13;1,1",13,144,6600,29,1.35190457,15.08281581
"2;24,48;1,13;1,1",13,144,6600,30,1.35163033,15.0830967
"2;24,48;1,13;1,1",13,144,6600,31,1.34842984,15.08304018
"2;24,48;1,13;1,1",13,144,6600,32,1.34568831,15.08300823
"2;24,48;1,13;1,1",13,144,6600,33,1.36171746,15.08272253
"2;24,48;1,13;1,1",13,144,6600,34,1.35293096,15.08324194
"2;24,48;1,13;1,1",13,144,6600,35,1.37453977,15.08286986
"2;24,48;1,13;1,1",13,144,6600,36,1.35667768,15.0860798
"2;24,48;1,13;1,1",13,144,6600,37,1.36214574,15.08288869
