nb_proc,msg_size,time
16,256,0.00039304
64,256,0.00054997
16,512,0.00033942
64,512,0.00047006
16,1024,0.00038428
64,1024,0.00053837
16,2048,0.00043657
64,2048,0.0006188
16,4096,0.00065178
64,4096,0.00094526
16,8192,0.00066545
64,8192,0.00097336
16,16384,0.00196522
64,16384,0.00290785
16,32768,0.00198751
64,32768,0.00294133
16,65536,0.00203214
64,65536,0.00300822
16,131072,0.00212135
64,131072,0.00314202
16,262144,0.00229967
64,262144,0.0034095
16,524288,0.00265637
64,524288,0.00394458
16,1048576,0.0033698
64,1048576,0.00501466
16,2097152,0.00479657
64,2097152,0.00715484
16,4194304,0.00765015
64,4194304,0.01143527
16,8388608,0.01335734
64,8388608,0.01999605
16,256,0.00039304
64,256,0.00054997
16,512,0.00033942
64,512,0.00047007
16,1024,0.00038428
64,1024,0.00053836
16,2048,0.00043658
64,2048,0.00061881
16,4096,0.00065178
64,4096,0.00094525
16,8192,0.00066542
64,8192,0.00097335
16,16384,0.00196522
64,16384,0.00290789
16,32768,0.00198751
64,32768,0.00294135
16,65536,0.00203209
64,65536,0.00300822
16,131072,0.0021213
64,131072,0.00314201
16,262144,0.00229972
64,262144,0.0034095
16,524288,0.00265636
64,524288,0.00394459
16,1048576,0.00336979
64,1048576,0.00501467
16,2097152,0.00479655
64,2097152,0.00715484
16,4194304,0.00765016
64,4194304,0.01143527
16,8388608,0.01335732
64,8388608,0.01999602
16,256,0.00039306
64,256,0.00054998
16,512,0.00033942
64,512,0.00047006
16,1024,0.00038427
64,1024,0.00053836
16,2048,0.00043658
64,2048,0.00061882
16,4096,0.00065177
64,4096,0.00094527
16,8192,0.00066545
64,8192,0.00097336
16,16384,0.00196522
64,16384,0.00290788
16,32768,0.00198751
64,32768,0.00294132
16,65536,0.00203214
64,65536,0.00300821
16,131072,0.00212127
64,131072,0.00314197
16,262144,0.00229968
64,262144,0.00340951
16,524288,0.00265636
64,524288,0.00394462
16,1048576,0.00336977
64,1048576,0.00501468
16,2097152,0.00479656
64,2097152,0.00715483
16,4194304,0.00765015
64,4194304,0.01143527
16,8388608,0.01335735
64,8388608,0.019996
16,256,0.00039306
64,256,0.00054996
16,512,0.00033941
64,512,0.00047007
16,1024,0.00038428
64,1024,0.00053835
16,2048,0.00043658
64,2048,0.00061882
16,4096,0.00065177
64,4096,0.00094526
16,8192,0.00066545
64,8192,0.00097336
16,16384,0.00196522
64,16384,0.00290787
16,32768,0.00198754
64,32768,0.00294135
16,65536,0.00203208
64,65536,0.00300822
16,131072,0.00212135
64,131072,0.00314204
16,262144,0.00229966
64,262144,0.00340952
16,524288,0.0026564
64,524288,0.00394457
16,1048576,0.00336977
64,1048576,0.00501468
16,2097152,0.00479656
64,2097152,0.00715485
16,4194304,0.00765018
64,4194304,0.01143524
16,8388608,0.01335735
64,8388608,0.01999601
16,256,0.00039299
64,256,0.00054994
16,512,0.00033938
64,512,0.00047003
16,1024,0.00038426
64,1024,0.0005383
16,2048,0.00043656
64,2048,0.00061879
16,4096,0.00065173
64,4096,0.00094523
16,8192,0.0006654
64,8192,0.00097335
16,16384,0.00196521
64,16384,0.00290787
