nb_proc,msg_size,time
16,256,0.00039303
64,256,0.00054996
16,512,0.00033942
64,512,0.00047007
16,1024,0.00038428
64,1024,0.00053836
16,2048,0.00043658
64,2048,0.00061883
16,4096,0.00069356
64,4096,0.0010113
16,8192,0.00081989
64,8192,0.00113295
16,16384,0.00097782
64,16384,0.00126376
16,32768,0.00176913
64,32768,0.00204991
16,65536,0.00254657
64,65536,0.00287428
16,131072,0.00380895
64,131072,0.0074469
16,262144,0.00909634
64,262144,0.01122124
16,524288,0.00926353
64,524288,0.01175232
16,1048576,0.00959799
64,1048576,0.0329186
16,2097152,0.01026677
64,2097152,0.03362082
16,4194304,0.01160443
64,4194304,0.03502535
16,8388608,0.01427963
64,8388608,0.03783434
16,256,0.00039308
64,256,0.00054995
16,512,0.0003394
64,512,0.00047002
16,1024,0.00038428
64,1024,0.00053837
16,2048,0.00043653
64,2048,0.00061882
16,4096,0.00069354
64,4096,0.00101132
16,8192,0.00081987
64,8192,0.00113296
16,16384,0.00097786
64,16384,0.00126376
16,32768,0.00176911
64,32768,0.00204988
16,65536,0.00254659
64,65536,0.00287432
16,131072,0.00380896
64,131072,0.00744687
16,262144,0.00909633
64,262144,0.01122123
16,524288,0.00926356
64,524288,0.01175233
16,1048576,0.00959801
64,1048576,0.03291858
16,2097152,0.01026681
64,2097152,0.03362087
16,4194304,0.01160442
64,4194304,0.03502534
16,8388608,0.01427961
64,8388608,0.03783437
16,256,0.00039297
64,256,0.00054995
16,512,0.00033941
64,512,0.00047007
16,1024,0.00038429
64,1024,0.00053836
16,2048,0.00043657
64,2048,0.00061882
16,4096,0.00069355
64,4096,0.00101132
16,8192,0.00081988
64,8192,0.00113295
16,16384,0.00097782
64,16384,0.00126376
16,32768,0.00176912
64,32768,0.0020499
16,65536,0.0025466
64,65536,0.00287427
16,131072,0.00380902
64,131072,0.00744685
16,262144,0.00909632
64,262144,0.0112213
16,524288,0.00926356
64,524288,0.01175232
16,1048576,0.00959801
64,1048576,0.03291859
16,2097152,0.01026682
64,2097152,0.03362086
16,4194304,0.01160442
64,4194304,0.03502531
16,8388608,0.01427964
64,8388608,0.03783434
16,256,0.00039306
64,256,0.00054998
16,512,0.0003394
64,512,0.00047005
16,1024,0.00038426
64,1024,0.00053833
16,2048,0.00043655
64,2048,0.00061882
16,4096,0.00069355
64,4096,0.00101137
16,8192,0.00081989
64,8192,0.00113293
16,16384,0.00097783
64,16384,0.00126378
16,32768,0.00176917
64,32768,0.00204992
16,65536,0.00254658
64,65536,0.00287427
16,131072,0.00380896
64,131072,0.007447
16,262144,0.00909641
64,262144,0.01122121
16,524288,0.00926356
64,524288,0.01175235
16,1048576,0.00959796
64,1048576,0.03291854
16,2097152,0.01026675
64,2097152,0.03362091
16,4194304,0.01160441
64,4194304,0.03502534
16,8388608,0.01427966
64,8388608,0.03783434
16,256,0.00039303
64,256,0.00054997
16,512,0.0003394
64,512,0.00047007
16,1024,0.00038428
64,1024,0.00053835
16,2048,0.00043657
64,2048,0.00061881
16,4096,0.00069354
64,4096,0.0010113
16,8192,0.00081988
64,8192,0.00113293
16,16384,0.00097782
64,16384,0.00126375
16,32768,0.00176912
64,32768,0.00204989
16,65536,0.00254653
64,65536,0.00287428
16,131072,0.00380894
64,131072,0.00744691
16,262144,0.00909634
64,262144,0.01122125
16,524288,0.00926353
64,524288,0.01175235
16,1048576,0.00959796
64,1048576,0.03291859
16,2097152,0.01026676
64,2097152,0.03362083
16,4194304,0.01160437
64,4194304,0.03502536
16,8388608,0.01427965
64,8388608,0.03783435
16,256,0.00039305
64,256,0.00054997
16,512,0.00033942
64,512,0.00047007
16,1024,0.00038427
64,1024,0.00053837
16,2048,0.00043658
64,2048,0.00061882
16,4096,0.00069356
64,4096,0.00101134
16,8192,0.00081989
64,8192,0.00113296
16,16384,0.00097781
64,16384,0.00126375
16,32768,0.00176912
64,32768,0.0020499
16,65536,0.00254652
64,65536,0.00287429
16,131072,0.00380895
64,131072,0.00744692
16,262144,0.00909633
64,262144,0.01122129
16,524288,0.00926354
64,524288,0.01175235
16,1048576,0.00959796
64,1048576,0.03291865
16,2097152,0.01026676
64,2097152,0.03362085
16,4194304,0.01160439
64,4194304,0.03502536
16,8388608,0.01427965
64,8388608,0.03783434
16,256,0.00039302
64,256,0.00054997
16,512,0.00033941
64,512,0.00047006
16,1024,0.00038427
64,1024,0.0005384
16,2048,0.00043658
64,2048,0.00061881
16,4096,0.00069355
64,4096,0.00101128
16,8192,0.00081988
64,8192,0.00113294
16,16384,0.00097782
64,16384,0.00126379
16,32768,0.00176913
64,32768,0.00204991
16,65536,0.00254658
64,65536,0.00287431
16,131072,0.00380896
64,131072,0.00744692
16,262144,0.00909634
64,262144,0.01122125
16,524288,0.00926353
64,524288,0.01175233
16,1048576,0.00959797
64,1048576,0.03291859
16,2097152,0.01026677
64,2097152,0.03362085
16,4194304,0.01160438
