nb_proc,msg_size,time
16,256,0.00039305
64,256,0.00054996
16,512,0.00047122
64,512,0.00062775
16,1024,0.00053608
64,1024,0.00069271
16,2048,0.00070357
64,2048,0.00086017
16,4096,0.00102907
64,4096,0.00118576
16,8192,0.00170833
64,8192,0.00186502
16,16384,0.00296222
64,16384,0.00311896
16,32768,0.00579431
64,32768,0.005951
16,65536,0.01080797
64,65536,0.01096468
16,131072,0.0007966
64,131072,0.00280985
16,262144,0.00142579
64,262144,0.00545236
16,524288,0.00268412
64,524288,0.01073708
16,1048576,0.02028496
64,1048576,0.02130674
16,2097152,0.06700699
64,2097152,0.04244611
16,256,0.00039302
64,256,0.00054996
16,512,0.00047122
64,512,0.00062773
16,1024,0.00053604
64,1024,0.00069273
16,2048,0.00070357
64,2048,0.00086025
16,4096,0.00102907
64,4096,0.00118575
16,8192,0.00170833
64,8192,0.00186501
16,16384,0.0029622
64,16384,0.00311892
16,32768,0.0057943
64,32768,0.005951
16,65536,0.01080803
64,65536,0.01096469
16,131072,0.00079667
64,131072,0.00280987
16,262144,0.00142582
64,262144,0.00545227
16,524288,0.0026841
64,524288,0.01073709
16,1048576,0.02028493
64,1048576,0.02130675
16,2097152,0.067007
64,2097152,0.04244602
16,256,0.00039304
64,256,0.00054996
16,512,0.00047122
64,512,0.00062772
16,1024,0.00053606
64,1024,0.00069275
16,2048,0.00070356
64,2048,0.00086025
16,4096,0.00102908
64,4096,0.00118577
16,8192,0.00170833
64,8192,0.00186502
16,16384,0.00296224
64,16384,0.00311895
16,32768,0.0057943
64,32768,0.00595098
16,65536,0.01080797
64,65536,0.01096467
16,131072,0.00079671
64,131072,0.00280984
16,262144,0.00142582
64,262144,0.00545228
16,524288,0.0026841
64,524288,0.01073709
16,1048576,0.02028493
64,1048576,0.02130671
16,2097152,0.06700702
64,2097152,0.04244601
16,256,0.00039302
64,256,0.00054996
16,512,0.00047122
64,512,0.00062774
16,1024,0.00053608
64,1024,0.00069278
16,2048,0.00070354
16,256,0.00039302
64,256,0.00054994
16,512,0.0004712
64,512,0.00062773
16,1024,0.00053608
64,1024,0.00069276
16,2048,0.00070356
64,2048,0.00086025
16,4096,0.00102907
64,4096,0.00118578
16,8192,0.00170832
64,8192,0.00186503
16,16384,0.00296224
64,16384,0.0031189
16,32768,0.00579429
64,32768,0.00595105
16,65536,0.01080797
64,65536,0.01096467
16,131072,0.00079659
64,131072,0.00280985
16,262144,0.00142582
64,262144,0.00545233
16,524288,0.00268406
64,524288,0.0107371
