nb_proc,matrix_size,time
1,800,0.01666401
4,800,0.0064639
16,800,0.00901181
64,800,0.00556849
100,800,0.0065766
256,800,0.00763915
400,800,0.00787097
625,800,0.00833059
1600,800,0.01116166
1,1600,0.26842904
4,1600,0.03646807
16,1600,0.01655163
64,1600,0.02532854
100,1600,0.03954342
256,1600,0.01076657
400,1600,0.01275681
625,1600,0.01542635
1600,1600,0.01516607
1,4000,4.30512047
4,4000,0.71418571
16,4000,0.20293773
64,4000,0.05689819
100,4000,0.06140536
256,4000,0.07022161
400,4000,0.10072649
625,4000,0.12185026
1600,4000,0.02579858
1,800,0.01804536
4,800,0.00641828
16,800,0.009184
64,800,0.00559106
100,800,0.00657719
256,800,0.00763343
400,800,0.00787139
625,800,0.00833427
1600,800,0.0111595
1,1600,0.26996602
4,1600,0.03842798
16,1600,0.01650922
64,1600,0.02527966
100,1600,0.03949738
256,1600,0.01076188
400,1600,0.01273687
625,1600,0.01541948
1600,1600,0.01516331
1,4000,4.28423168
4,4000,0.71136245
16,4000,0.19227334
64,4000,0.05713963
100,4000,0.06119213
256,4000,0.06995795
400,4000,0.10094234
625,4000,0.12196099
1600,4000,0.02577592
1,800,0.01614533
4,800,0.00741707
16,800,0.00912763
64,800,0.00557016
100,800,0.00659678
256,800,0.0076292
400,800,0.00787507
625,800,0.00832707
1600,800,0.01115866
1,1600,0.26875378
4,1600,0.03640533
16,1600,0.01703729
64,1600,0.02524531
100,1600,0.03948542
256,1600,0.01076124
400,1600,0.01277406
625,1600,0.01542965
1600,1600,0.01516813
1,4000,4.32641704
4,4000,0.71073819
16,4000,0.21615624
64,4000,0.05666109
100,4000,0.06136746
256,4000,0.07021123
400,4000,0.10074083
625,4000,0.12184789
1600,4000,0.02582043
1,800,0.01675158
4,800,0.00657191
16,800,0.00897927
64,800,0.00556418
100,800,0.00657725
256,800,0.00763342
400,800,0.00787604
625,800,0.00833102
1600,800,0.01115876
1,1600,0.26655654
4,1600,0.03604653
16,1600,0.01670142
64,1600,0.0252732
100,1600,0.03950524
256,1600,0.01075306
400,1600,0.01279453
625,1600,0.01540025
1600,1600,0.0151759
1,4000,4.30755386
4,4000,0.70261423
16,4000,0.18638149
64,4000,0.0566639
100,4000,0.06120999
256,4000,0.07004018
400,4000,0.10072508
625,4000,0.12191014
1600,4000,0.02578442
1,800,0.01606613
4,800,0.00645209
16,800,0.00899067
64,800,0.00556882
100,800,0.00659698
256,800,0.00763794
400,800,0.00787152
625,800,0.00833267
1600,800,0.01115778
1,1600,0.26471652
4,1600,0.03742719
16,1600,0.01653468
64,1600,0.02523295
100,1600,0.03949726
256,1600,0.01076353
400,1600,0.01277222
625,1600,0.01546273
1600,1600,0.01515426
1,4000,4.27833657
4,4000,0.7112896
16,4000,0.1791293
64,4000,0.05651165
100,4000,0.0612194
256,4000,0.06998224
400,4000,0.10072924
625,4000,0.12185948
1600,4000,0.02577472
1,800,0.01727252
4,800,0.00642706
16,800,0.00909573
64,800,0.00556767
100,800,0.00657679
256,800,0.00763652
400,800,0.00787415
625,800,0.00833263
1600,800,0.0111572
1,1600,0.26798991
4,1600,0.03643302
16,1600,0.01671614
64,1600,0.02532891
100,1600,0.03950467
256,1600,0.01073934
400,1600,0.01276218
625,1600,0.01543207
1600,1600,0.01515988
1,4000,4.34945782
4,4000,0.7493917
16,4000,0.20309146
64,4000,0.05655527
100,4000,0.06167472
256,4000,0.070375
400,4000,0.10077913
625,4000,0.12189234
1600,4000,0.02577607
