nb_proc,matrix_size,time
1,800,0.02068807
4,800,0.00700598
16,800,0.00917086
64,800,0.00559848
100,800,0.0135793
256,800,0.00764274
400,800,0.0078744
625,800,0.00833321
1600,800,0.01115888
1,1600,0.29168286
4,1600,0.04806647
16,1600,0.01945104
64,1600,0.02551971
100,1600,0.02993334
256,1600,0.02570727
400,1600,0.03287259
625,1600,0.11004358
1600,1600,0.01517547
1,4000,4.57446615
4,4000,0.77475858
16,4000,0.20457175
64,4000,0.06069757
100,4000,0.08024178
256,4000,0.066272
400,4000,0.07264525
625,4000,0.11701896
1600,4000,0.08762953
1,800,0.02055452
4,800,0.00691065
16,800,0.0093076
64,800,0.00559977
100,800,0.01358628
256,800,0.00763237
400,800,0.0078738
625,800,0.00833239
1600,800,0.01115896
1,1600,0.27683954
4,1600,0.04112803
16,1600,0.01735439
64,1600,0.02550366
100,1600,0.02990318
256,1600,0.02570047
400,1600,0.03284871
625,1600,0.11002832
1600,1600,0.01517204
1,4000,4.48682363
4,4000,0.79549219
16,4000,0.22967908
64,4000,0.06225104
100,4000,0.0801493
256,4000,0.06665701
400,4000,0.07214797
625,4000,0.11688447
1600,4000,0.08762502
1,800,0.01916332
4,800,0.0077264
16,800,0.00911746
64,800,0.00561838
100,800,0.01356928
256,800,0.00764931
400,800,0.00787562
625,800,0.0083295
1600,800,0.01116013
1,1600,0.28234628
4,1600,0.04487168
16,1600,0.01770263
64,1600,0.02535974
100,1600,0.02993591
256,1600,0.02568667
400,1600,0.03284825
625,1600,0.11003101
1600,1600,0.01516868
1,4000,4.49866879
4,4000,0.73397686
16,4000,0.21324944
64,4000,0.06223914
100,4000,0.08046091
256,4000,0.06631002
400,4000,0.07202969
625,4000,0.11688649
1600,4000,0.08763114
