nb_proc,matrix_size,time
1,800,0.0192774
4,800,0.01439103
16,800,0.05510714
64,800,0.02921881
100,800,0.02395923
256,800,0.01696893
400,800,0.01690426
625,800,0.01289983
1600,800,0.01115758
1,1600,0.28579799
4,1600,0.0862077
16,1600,0.04316223
64,1600,0.11022823
100,1600,0.0837702
256,1600,0.05707644
400,1600,0.04687172
625,1600,0.0377282
1600,1600,0.03231012
1,4000,4.61276326
4,4000,1.01289233
16,4000,0.34378779
64,4000,0.14099205
100,4000,0.10370615
256,4000,0.33289029
400,4000,0.27270735
625,4000,0.20789061
1600,4000,0.13957515
1,800,0.01918798
4,800,0.01430394
16,800,0.05512855
64,800,0.02922206
100,800,0.02396903
256,800,0.01697942
400,800,0.01690458
625,800,0.01289672
1600,800,0.01115765
1,1600,0.28168149
4,1600,0.0800883
16,1600,0.04241038
64,1600,0.11008205
100,1600,0.08375523
256,1600,0.05707844
400,1600,0.04687044
625,1600,0.0377298
1600,1600,0.03231409
1,4000,4.48989635
4,4000,0.97296303
16,4000,0.33978125
64,4000,0.13259938
100,4000,0.10658887
256,4000,0.334239
400,4000,0.27340869
625,4000,0.20800726
1600,4000,0.13958026
1,800,0.01877936
4,800,0.01548563
16,800,0.0550775
64,800,0.02921482
100,800,0.02397512
256,800,0.01696569
400,800,0.01690535
625,800,0.01289638
1600,800,0.01115726
1,1600,0.28250107
4,1600,0.07676253
16,1600,0.04225518
64,1600,0.11008508
100,1600,0.08376201
256,1600,0.05707154
400,1600,0.04688295
625,1600,0.03773268
1600,1600,0.0323093
1,4000,4.52578598
4,4000,0.99385721
16,4000,0.34895332
64,4000,0.13181225
100,4000,0.10398128
256,4000,0.33305611
400,4000,0.27269543
625,4000,0.20781588
1600,4000,0.13957471
1,800,0.02029398
4,800,0.01432274
16,800,0.05499079
64,800,0.02922084
100,800,0.0239526
256,800,0.01697294
400,800,0.01690401
625,800,0.01289804
1600,800,0.01115905
1,1600,0.28300058
4,1600,0.07752104
16,1600,0.04193785
64,1600,0.1101895
100,1600,0.08375791
256,1600,0.05707156
400,1600,0.04687506
625,1600,0.0377313
1600,1600,0.03230881
1,4000,4.49068371
4,4000,0.97766823
16,4000,0.33856143
64,4000,0.13138719
100,4000,0.10321974
256,4000,0.33303972
400,4000,0.27270866
625,4000,0.20785949
1600,4000,0.13958902
1,800,0.01961148
4,800,0.01421004
16,800,0.0549746
64,800,0.029221
100,800,0.02395707
256,800,0.01696969
400,800,0.01690468
625,800,0.01289677
1600,800,0.01115692
1,1600,0.28552044
4,1600,0.07874783
16,1600,0.04161163
64,1600,0.11014489
100,1600,0.08375459
256,1600,0.05706872
400,1600,0.04687139
625,1600,0.03772769
1600,1600,0.0323088
1,4000,4.56665896
4,4000,1.01124566
16,4000,0.34269358
64,4000,0.14033997
100,4000,0.1081305
256,4000,0.33409373
400,4000,0.27294141
625,4000,0.20785879
1600,4000,0.1395686
1,800,0.01860028
4,800,0.01435685
16,800,0.05511728
64,800,0.02921279
100,800,0.02397348
256,800,0.0169679
400,800,0.01690538
625,800,0.01289855
1600,800,0.01116036
1,1600,0.28170636
4,1600,0.07944102
16,1600,0.04255038
64,1600,0.11013067
100,1600,0.08378209
256,1600,0.05707819
400,1600,0.04686813
625,1600,0.0377281
1600,1600,0.03231008
