nb_proc,matrix_size,time
1,800,0.01641942
4,800,0.00403214
16,800,0.00093717
64,800,0.00024065
100,800,0.00016147
256,800,7.303e-05
400,800,5.455e-05
625,800,3.151e-05
1600,800,1.918e-05
1,1600,0.28256238
4,1600,0.04089392
16,1600,0.00879152
64,1600,0.00213203
100,1600,0.00133957
256,1600,0.00046677
400,1600,0.00031846
625,1600,0.00022978
1600,1600,0.00010658
1,800,0.0217436
4,800,0.0053102
16,800,0.00099655
64,800,0.00024237
100,800,0.00016024
256,800,7.675e-05
400,800,4.511e-05
625,800,3.387e-05
1600,800,5.671e-05
1,1600,0.2753758
4,1600,0.04911869
16,1600,0.0088625
64,1600,0.00255138
100,1600,0.001613
256,1600,0.00057205
400,1600,0.00036221
625,1600,0.00021557
1600,1600,0.0001055
1,800,0.01894523
4,800,0.00420431
16,800,0.00100308
64,800,0.00027831
100,800,0.00021335
256,800,9.731e-05
400,800,6.241e-05
625,800,3.211e-05
1600,800,1.722e-05
1,1600,0.28376773
4,1600,0.04936666
16,1600,0.00946806
64,1600,0.0021448
100,1600,0.00151662
256,1600,0.00053962
400,1600,0.00033153
625,1600,0.00021565
1600,1600,0.00010634
1,800,0.01776593
4,800,0.00409057
16,800,0.00116707
64,800,0.00025694
100,800,0.00018959
256,800,7.803e-05
400,800,4.887e-05
625,800,3.187e-05
1600,800,2.141e-05
1,1600,0.28434201
4,1600,0.03518739
16,1600,0.00823892
64,1600,0.00200801
100,1600,0.0013416
256,1600,0.0005234
400,1600,0.00035478
625,1600,0.00022698
1600,1600,0.00010006
1,800,0.01843551
4,800,0.00428052
16,800,0.00109978
64,800,0.00030194
100,800,0.00019243
256,800,7.397e-05
400,800,6.085e-05
625,800,3.059e-05
1600,800,3.31e-05
1,1600,0.28253181
4,1600,0.047898
16,1600,0.00896702
64,1600,0.00221612
100,1600,0.00139189
256,1600,0.00052979
400,1600,0.00033299
625,1600,0.00022814
1600,1600,9.973e-05
1,800,0.02134275
4,800,0.00470912
16,800,0.00099197
64,800,0.00028408
100,800,0.00018241
256,800,8.612e-05
400,800,4.798e-05
625,800,4.696e-05
1600,800,1.802e-05
1,1600,0.27758526
4,1600,0.05404601
16,1600,0.00870314
64,1600,0.00231706
100,1600,0.00143957
256,1600,0.0005735
400,1600,0.00039092
625,1600,0.00025626
1600,1600,0.00010984
1,800,0.01997812
4,800,0.00434706
16,800,0.00114014
64,800,0.00027372
100,800,0.0001831
256,800,7.785e-05
400,800,5.09e-05
625,800,3.478e-05
1600,800,2.069e-05
1,1600,0.28046626
4,1600,0.03636184
16,1600,0.01058728
64,1600,0.00209435
100,1600,0.00146245
256,1600,0.00054143
400,1600,0.00037799
625,1600,0.00023652
1600,1600,0.00013261
1,800,0.01873806
4,800,0.00444729
16,800,0.00123752
64,800,0.00028937
100,800,0.00016941
256,800,8.842e-05
400,800,5.369e-05
625,800,5.293e-05
1600,800,1.955e-05
1,1600,0.28277141
4,1600,0.04281359
16,1600,0.00843083
64,1600,0.00203413
100,1600,0.00144014
256,1600,0.00048819
400,1600,0.00032789
625,1600,0.00021059
1600,1600,0.00010541
